Studio Name,Address,Contact Person,Phone,Email,Category,Priority,Visit Date,Pitch Deck Shared,One-Pager Left,Follow-Up 1 Date,Follow-Up 1 Outcome,Follow-Up 2 Date,Follow-Up 2 Outcome,Follow-Up 3 Date,Follow-Up 3 Outcome,Status,Founding Partner,Monthly Revenue Potential,Notes
Claymates Ceramics Studio,1288 Vernon Dr Vancouver BC,,,,Pottery,1,,,,,,,,,,,Lead,,$4000-9000,242 5-star reviews on Google. Strong Instagram presence. Beginner-friendly focus.
Studio Fundamentals,,,,,Pottery,2,,,,,,,,,,,Lead,,$3000-7000,Explicitly beginner-focused. Values-aligned with our mission.
HiDe Ceramic Works,,,,,Pottery,3,,,,,,,,,,,Lead,,$3500-8000,Already has 24/7 booking system - understands tech value. Open access model.
HUSTLE Vancouver,,,,,Fitness,4,,,,,,,,,,,Lead,,$5000-12000,Multiple class types (HIIT boxing cycling yoga). High volume potential.
TOGETHERHEADS Studio,,,,,Wellness,5,,,,,,,,,,,Lead,,$2500-6000,Diverse workshops and wellness events. Urban art alley aesthetic.
East Van Pottery,,,,,Pottery,6,,,,,,,,,,,Lead,,$2000-5000,Community-focused pottery studio. Regular beginner workshops.
The Hobby Hub,,,,,Multi-Category,7,,,,,,,,,,,Lead,,$3000-8000,Multiple creative categories. Good for testing cross-category discovery.
Artisan Collective,,,,,Art,8,,,,,,,,,,,Lead,,$2500-6000,Painting drawing mixed media classes. Gallery space attached.
Vancouver Cooking School,,,,,Cooking,9,,,,,,,,,,,Lead,,$4000-10000,Professional kitchen. Range of cuisines and skill levels.
Dance Studios East Van,,,,,Dance,10,,,,,,,,,,,Lead,,$3500-8000,Contemporary hip-hop salsa classes. Social dance focus.
